129.11	130.78	128.22	133	134	135.67	135.33	140.44	134.22	142.22	153.78	133	134.67	133.33	131.33	128.78	127.56	126.78	125.56	124.89	129.11
128.22	130.67	128.67	133.44	133.44	135.89	134.67	142.22	154	134	160.89	135.56	133.44	133.78	131.33	128.11	129.22	126.44	126.11	127	128.22
128.22	131.22	130.78	133.22	134	136.11	133.11	139.78	149.11	135.89	131.22	137.56	135.11	133.78	132	127.78	128.56	126.67	128	126.89	128.22
127.89	130.22	128.89	132	133	135	135.22	135.56	135.67	150.33	135.44	136.56	133.78	133.78	131.33	128.11	128	125.67	125.89	126.22	127.89
127.44	131.89	128.89	132.67	133.11	135.56	135.89	151	127.89	154	138.89	136.44	135.89	133.78	131.44	127.11	128.78	126.11	126.78	126.56	127.44
127.67	131	130.33	133	134	136.89	134.78	160.33	125.33	136.22	138.89	136.67	136	134	130.78	126.44	127.78	124.89	125.44	127	127.67
128	130.67	129.67	133	133.78	134.89	134.89	142	134.67	142.67	138.78	137	135.56	134.11	131.44	127.44	129	124.67	125.11	126.89	128
128.11	130.67	129.33	131.89	133	135.67	131.33	129.22	152.11	142.78	138.67	135.78	134.56	133.78	132.22	128.56	129	125.22	126.44	125.11	128.11
129.89	131.44	129.33	133	133	136.22	137.89	124.78	142.89	143	137.67	136	135.44	134.44	132.44	127.78	129.67	126.56	127	125.89	129.89
128.56	131	129.44	132.78	134	137.33	152.33	126.44	135.56	143.89	138.22	136.33	134.89	133.78	131.11	127.56	128.56	126.44	125.11	127.11	128.56
128	130.78	129.11	133.78	135.22	135.67	150.78	137.33	138.89	142.44	137.67	137.11	135	133.78	131.78	128.22	128.78	126.67	126.11	126.44	128
129.22	131.11	128.78	134	133.22	134	123.44	154.22	141.56	141.11	136.67	136.33	136	133	132.78	127.78	129	126.22	125.33	125.44	129.22
128.44	130.78	127	132	135	141.22	124.56	139	138.89	143.44	138.67	136.67	134	133.67	130.33	127.78	128.78	125.89	125.78	127.22	128.44
128.89	129.56	129.44	132	134.56	156.78	127.56	139.44	138.67	141.78	137.11	136	135.11	133.78	130.67	128.33	127.78	126.33	124.67	125.89	128.89
129.11	129.56	128.22	131.67	132	127.44	151.33	142	139.22	142.33	137.11	135.89	135.67	133.78	131.78	128.11	127.78	125.78	126.67	125.56	129.11
128	129.56	129.44	131.78	131.89	120.22	140.22	140.78	139	140.22	136.78	136	135.78	134.11	131.67	127.89	129	125.78	125.78	127.11	128
128.67	129.89	129.67	131.67	136.78	112.22	132.89	139.78	139	143.11	137.22	135.78	136.33	133.78	130.44	128.67	129	126.67	125.89	126.22	128.67
127.56	130	129.56	132.67	148.78	126	134.78	138.44	138.89	142.44	138.89	136.67	135.44	134.11	131.33	128	128.56	126.56	126	127.22	127.56
129.67	130.89	129.56	132.44	141.22	149.33	135.44	141.56	139	142.44	136.78	136	134	133.78	131.56	127.78	129	126.22	126.67	124.67	129.67
128.33	130.89	128.67	129.11	117.78	143.44	134.33	140.22	138.89	141.33	136.44	136.11	135	134	132.89	127.44	129	126.67	126.22	126.67	128.33
129.22	131.22	129.56	131.78	144.56	148.67	136.33	140	137.56	142.33	137	136.56	135	134.89	131.44	129.11	128	125.89	125.22	126	129.22
128.56	129.22	129.89	131.89	147.89	124.33	134.33	140	138.67	142.22	136.78	136.89	133.56	134.22	131.56	128.56	127.89	125.56	126	126.56	128.56
128.22	129.56	129.78	132.44	137.22	112.33	132.78	140.22	139.67	142.78	136.44	135.89	136	134.56	131.67	127.89	129	126.22	126.78	126.33	128.22
129.67	130.78	128.22	132.11	131.78	117.56	140.67	140.22	138.33	140.67	138.33	136.67	135.44	134.67	130.78	126.67	128	127	125.33	126.22	129.67
128.56	129.67	129.11	132.78	130.67	132.89	148.44	142	138.89	142	137.22	136.33	135.56	134.11	131.78	127	127.56	126.33	126.56	126.89	128.56
128.56	130.44	128.67	132.33	131.67	149.22	147.11	140.44	138	143	137.22	136.44	135.56	134.67	132.22	127.44	129	126.56	125.67	126.67	128.56
127.78	129.78	128.44	133	133.89	154.22	129.11	141.56	139.11	142.11	139.22	136.33	136	133.78	131	127.89	129	126.89	126.11	126.78	127.78
130.67	130	128.56	131.78	135	147.44	117.56	140.22	138.67	140.33	137.33	137	136.11	133.78	131.67	128.44	128.78	125.89	125.33	126.67	130.67
